4	6395.98	12800	12800	127.065	2.28958e-28	
8	6348.51	12713	12713	40.138	1.72084e-09	
12	6327.81	12679.6	12679.7	6.76032	0.030451	
16	6324.52	12681	12681.1	8.2052	0.014786	
20	6316.4	12672.8	12672.9	0	0.894514	
24	6315.24	12678.5	12678.6	5.72704	0.0510477	
28	6312.93	12681.9	12682	9.1538	0.00920162	
