Species	Atoll	Guild	2000	2000	2001	2001	2001	2001	2002	2002	2002
Acanthurus_auranticavus	KADMATH	Algal_Feeder	1	1	0	1	1	0	1	0	0
Acanthurus_leucosternon	KADMATH	Algal_Feeder	1	1	1	1	1	1	1	1	1
Acanthurus_lineatus	KADMATH	Algal_Feeder	1	0	1	1	1	1	0	1	1
Acanthurus_nigrofuscus	KADMATH	Algal_Feeder	1	1	0	1	0	0	0	0	1
Acanthurus_thompsoni	KADMATH	Zooplanktivore	0	0	0	0	0	0	1	0	0
Acanthurus_triostegus	KADMATH	Algal_Feeder	0	1	0	0	1	1	0	0	0
Acanthurus_xanthopterus	KADMATH	Algal_Feeder	0	0	0	0	0	0	0	0	0
Aethaloperca_rogaa	KADMATH	Piscivore	0	0	0	0	0	0	1	0	0
Amanses_scopas	KADMATH	Corallivore	0	0	0	0	0	0	0	0	0
