Chaetodon_falcula	KADMATH	Corallivore	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0
Chaetodon_kleinii	KADMATH	Corallivore	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
Chaetodon_lunula	KADMATH	Corallivore	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0
Chaetodon_madagascariensis	KADMATH	Corallivore	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon_melannotus	KADMATH	Corallivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Chaetodon_meyeri	KADMATH	Corallivore	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0
Chaetodon_plebius	KADMATH	Corallivore	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Chaetodon_triangulum	KADMATH	Corallivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Chaetodon_trifascialis	KADMATH	Corallivore	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Chaetodon_trifasciatus	KADMATH	Corallivore	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0
Chaetodon_unimaculatus	KADMATH	Corallivore	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon_xanthocephalus	KADMATH	Corallivore	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1
Cheilinus_chlorourus	KADMATH	Macroinvertivore	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0
Cheilinus_fasciatus	KADMATH	Macroinvertivore	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Cheilinus_trilobatus	KADMATH	Macroinvertivore	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0
Cheilinus_undulatus	KADMATH	Macroinvertivore	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1
Cheilio_inermis	KADMATH	Piscivore	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorurus_atrilunula	KADMATH	Algal_Feeder	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
Chlorurus_sordidus	KADMATH	Algal_Feeder	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Chlorurus_strongylocephalus	KADMATH	Algal_Feeder	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0
Cirrhilabrus_exquisitus	KADMATH	Microinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1
Ctenochaetus_striatus	KADMATH	Algal_Feeder	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1
