Chaetodon_decussatus	AGATHI	Corallivore	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0
Chaetodon_falcula	AGATHI	Corallivore	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0
Chaetodon_kleinii	AGATHI	Corallivore	1	0	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0
Chaetodon_lunula	AGATHI	Corallivore	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0
Chaetodon_madagascariensis	AGATHI	Corallivore	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0
Chaetodon_melannotus	AGATHI	Corallivore	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Chaetodon_meyeri	AGATHI	Corallivore	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1
Chaetodon_plebius	AGATHI	Corallivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon_triangulum	AGATHI	Corallivore	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0
Chaetodon_trifascialis	AGATHI	Corallivore	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0
Chaetodon_trifasciatus	AGATHI	Corallivore	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0
Chaetodon_unimaculatus	AGATHI	Corallivore	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon_xanthocephalus	AGATHI	Corallivore	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1
Cheilinus_chlorourus	AGATHI	Macroinvertivore	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1
Cheilinus_fasciatus	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Cheilinus_trilobatus	AGATHI	Macroinvertivore	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Cheilinus_undulatus	AGATHI	Macroinvertivore	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	1
Cheilio_inermis	AGATHI	Piscivore	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorurus_atrilunula	AGATHI	Algal_Feeder	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Chlorurus_sordidus	AGATHI	Algal_Feeder	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Chlorurus_strongylocephalus	AGATHI	Algal_Feeder	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0
Cirrhilabrus_exquisitus	AGATHI	Microinvertivore	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1
Ctenochaetus_striatus	AGATHI	Algal_Feeder	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Diproctacanthus_xanthurus	AGATHI	Microinvertivore	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Elegatis_bipinnulata	AGATHI	Piscivore	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epibulus_insidiator	AGATHI	Macroinvertivore	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1
Epinephelus_fasciatus	AGATHI	Piscivore	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epinephelus_malabaricus	AGATHI	Piscivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epinephelus_polyphekadion	AGATHI	Piscivore	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Epinephelus_spilotoceps	AGATHI	Piscivore	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
Fistularia_commersonii	AGATHI	Piscivore	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Forcipiger_flavissimus	AGATHI	Microinvertivore	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0
Gomphosus_caeruleus	AGATHI	Microinvertivore	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1
Gracila_albomarginata	AGATHI	Piscivore	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gymnothorax_flavimarginatus	AGATHI	Piscivore	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halichoeres_hortulanus	AGATHI	Microinvertivore	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1
Halichoeres_nebulosus	AGATHI	Microinvertivore	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halichoeres_scapularis	AGATHI	Microinvertivore	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1
Halichoeres_vrolikii	AGATHI	Microinvertivore	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
Hemigymnus_fasciatus	AGATHI	Macroinvertivore	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0
Hemigymnus_melapterus	AGATHI	Macroinvertivore	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0
Hemitaurichthys_zoster	AGATHI	Zooplanktivore	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0
Heniochus_acuminatus	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heniochus_chyrsostomus	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Heniochus_pleurotaenia	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hologymnosus_doliatus	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Kyphosus_cinerascens	AGATHI	Algal_Feeder	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lethrinus_harak	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lutjanus_biguttatus	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lutjanus_bohar	AGATHI	Macroinvertivore	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0
Lutjanus_fulviflamma	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lutjanus_gibbus	AGATHI	Macroinvertivore	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0
Lutjanus_kasmira	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macolor_niger	AGATHI	Zooplanktivore	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Malacanthus_latovittatus	AGATHI	Microinvertivore	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Melichthys_niger	AGATHI	Zooplanktivore	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Monotaxis_grandoculis	AGATHI	Zooplanktivore	1	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0
Mulloidichthys_flavolineatus	AGATHI	Macroinvertivore	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis_berndti	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
Naso_brachycentron	AGATHI	Algal_Feeder	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1
Naso_brevirostris	AGATHI	Zooplanktivore	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0
Naso_hexacanthus	AGATHI	Zooplanktivore	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0
Naso_literatus	AGATHI	Algal_Feeder	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Naso_tuberosus	AGATHI	Algal_Feeder	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Naso_unicornis	AGATHI	Algal_Feeder	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
Naso_vlamingii	AGATHI	Zooplanktivore	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1
Novaculichthys_taeniourus	AGATHI	Macroinvertivore	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odonus_niger	AGATHI	Zooplanktivore	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1
Oxycirrhitus_typus	AGATHI	Microinvertivore	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxymonacanthus_longirostris	AGATHI	Corallivore	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0
Paracanthurus_hepatus	AGATHI	Zooplanktivore	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracirrhites_arcatus	AGATHI	Macroinvertivore	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Paracirrhites_forsteri	AGATHI	Macroinvertivore	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1
Parupeneus_barberinus	AGATHI	Macroinvertivore	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1
Parupeneus_bifasciatus	AGATHI	Macroinvertivore	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0
Parupeneus_cyclostomus	AGATHI	Macroinvertivore	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Parupeneus_macronema	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
Pempheris_cf._oualensis	AGATHI	Omnivore	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Platax_orbicularis	AGATHI	Omnivore	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plectropomus_laevis	AGATHI	Piscivore	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Plectrorhinchus_orientalis	AGATHI	Piscivore	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1
Pomacanthus_imperator	AGATHI	Omnivore	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
Pomacanthus_semicirculatus	AGATHI	Omnivore	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudobalistes_flavimarginatus	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Pseudocheilinus_hexataenia	AGATHI	Microinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1
Pseudodax_moluccanus	AGATHI	Macroinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
Pterocaesio_tile	AGATHI	Zooplanktivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pygoplites_diacanthus	AGATHI	Omnivore	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0
