Species_Name	2000	2000	2000	2000.4	2000.4	2000.4	2000.8	2000.8	2000.8	2001.2	2001.2	2001.2	2001.6	2001.6	2001.6	2002	2002	2002	2002.4	2002.4	2002.4	2002.8	2002.8	2002.8	2003.2	2003.2	2003.2	2003.6	2003.6	2003.6	2004	2004	2004
Species_0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0
Species_1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Species_2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0
Species_3	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	0
Species_4	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0
Species_5	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
Species_6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0
Species_7	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Species_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Species_9	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species_10	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species_11	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1
Species_12	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Species_13	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Species_14	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Species_15	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0
Species_16	0	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0
Species_17	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0
Species_18	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0
Species_19	0	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0
Species_20	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1
Species_21	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0
